"row_id","broad_discipline_foe","narrow_discipline_foe","detailed_discipline_foe","funding_cluster","max_student_contribution_2024","commonwealth_contribution_2024","foe_code"
"330","03 - ENGINEERING AND RELATED TECHNOLOGIES","0301 - Manufacturing Engineering and Technology","030115 - Furniture Upholstery and Renovation","Funding Cluster 3","$8,948","$18,292","030115"
"331","03 - ENGINEERING AND RELATED TECHNOLOGIES","0301 - Manufacturing Engineering and Technology","030117 - Furniture Polishing","Funding Cluster 3","$8,948","$18,292","030117"
"332","03 - ENGINEERING AND RELATED TECHNOLOGIES","0301 - Manufacturing Engineering and Technology","030199 - Manufacturing Engineering and Technology, n.e.c.","Funding Cluster 3","$8,948","$18,292","030199"
"333","03 - ENGINEERING AND RELATED TECHNOLOGIES","0303 - Process and Resources Engineering","030300 - Process and Resources Engineering","Funding Cluster 3","$8,948","$18,292","030300"
"334","03 - ENGINEERING AND RELATED TECHNOLOGIES","0303 - Process and Resources Engineering","030301 - Chemical Engineering","Funding Cluster 3","$8,948","$18,292","030301"
"335","03 - ENGINEERING AND RELATED TECHNOLOGIES","0303 - Process and Resources Engineering","030303 - Mining Engineering","Funding Cluster 3","$8,948","$18,292","030303"
"336","03 - ENGINEERING AND RELATED TECHNOLOGIES","0303 - Process and Resources Engineering","030305 - Materials Engineering","Funding Cluster 3","$8,948","$18,292","030305"
"338","03 - ENGINEERING AND RELATED TECHNOLOGIES","0303 - Process and Resources Engineering","030399 - Process and Resources Engineering, n.e.c.","Funding Cluster 3","$8,948","$18,292","030399"
"339","03 - ENGINEERING AND RELATED TECHNOLOGIES","0305 - Automotive Engineering and Technology","030500 - Automotive Engineering and Technology","Funding Cluster 3","$8,948","$18,292","030500"
"340","03 - ENGINEERING AND RELATED TECHNOLOGIES","0305 - Automotive Engineering and Technology","030501 - Automotive Engineering","Funding Cluster 3","$8,948","$18,292","030501"
"341","03 - ENGINEERING AND RELATED TECHNOLOGIES","0305 - Automotive Engineering and Technology","030503 - Vehicle Mechanics","Funding Cluster 3","$8,948","$18,292","030503"
"342","03 - ENGINEERING AND RELATED TECHNOLOGIES","0305 - Automotive Engineering and Technology","030505 - Automotive Electrics and Electronics","Funding Cluster 3","$8,948","$18,292","030505"
"343","03 - ENGINEERING AND RELATED TECHNOLOGIES","0305 - Automotive Engineering and Technology","030507 - Automotive Vehicle Refinishing","Funding Cluster 3","$8,948","$18,292","030507"
"344","03 - ENGINEERING AND RELATED TECHNOLOGIES","0305 - Automotive Engineering and Technology","030509 - Automotive Body Construction","Funding Cluster 3","$8,948","$18,292","030509"
"345","03 - ENGINEERING AND RELATED TECHNOLOGIES","0305 - Automotive Engineering and Technology","030511 - Panel Beating","Funding Cluster 3","$8,948","$18,292","030511"
"346","03 - ENGINEERING AND RELATED TECHNOLOGIES","0305 - Automotive Engineering and Technology","030513 - Upholstery and Vehicle Trimming","Funding Cluster 3","$8,948","$18,292","030513"
"347","03 - ENGINEERING AND RELATED TECHNOLOGIES","0305 - Automotive Engineering and Technology","030515 - Automotive Vehicle Operations","Funding Cluster 3","$8,948","$18,292","030515"
"348","03 - ENGINEERING AND RELATED TECHNOLOGIES","0305 - Automotive Engineering and Technology","030599 - Automotive Engineering and Technology, n.e.c.","Funding Cluster 3","$8,948","$18,292","030599"
"349","03 - ENGINEERING AND RELATED TECHNOLOGIES","0307 - Mechanical and Industrial Engineering and Technology","030700 - Mechanical and Industrial Engineering and Technology","Funding Cluster 3","$8,948","$18,292","030700"
"350","03 - ENGINEERING AND RELATED TECHNOLOGIES","0307 - Mechanical and Industrial Engineering and Technology","030701 - Mechanical Engineering","Funding Cluster 3","$8,948","$18,292","030701"
"351","03 - ENGINEERING AND RELATED TECHNOLOGIES","0307 - Mechanical and Industrial Engineering and Technology","030703 - Industrial Engineering","Funding Cluster 3","$8,948","$18,292","030703"
"352","03 - ENGINEERING AND RELATED TECHNOLOGIES","0307 - Mechanical and Industrial Engineering and Technology","030705 - Toolmaking","Funding Cluster 3","$8,948","$18,292","030705"
"353","03 - ENGINEERING AND RELATED TECHNOLOGIES","0307 - Mechanical and Industrial Engineering and Technology","030707 - Metal Fitting, Turning and Machining","Funding Cluster 3","$8,948","$18,292","030707"
"354","03 - ENGINEERING AND RELATED TECHNOLOGIES","0307 - Mechanical and Industrial Engineering and Technology","030709 - Sheetmetal Working","Funding Cluster 3","$8,948","$18,292","030709"
"355","03 - ENGINEERING AND RELATED TECHNOLOGIES","0307 - Mechanical and Industrial Engineering and Technology","030711 - Boilermaking and Welding","Funding Cluster 3","$8,948","$18,292","030711"
"356","03 - ENGINEERING AND RELATED TECHNOLOGIES","0307 - Mechanical and Industrial Engineering and Technology","030713 - Metal Casting and Patternmaking","Funding Cluster 3","$8,948","$18,292","030713"
"357","03 - ENGINEERING AND RELATED TECHNOLOGIES","0307 - Mechanical and Industrial Engineering and Technology","030715 - Precision Metalworking","Funding Cluster 3","$8,948","$18,292","030715"
"358","03 - ENGINEERING AND RELATED TECHNOLOGIES","0307 - Mechanical and Industrial Engineering and Technology","030717 - Plant and Machine Operations","Funding Cluster 3","$8,948","$18,292","030717"
"359","03 - ENGINEERING AND RELATED TECHNOLOGIES","0307 - Mechanical and Industrial Engineering and Technology","030799 - Mechanical and Industrial Engineering and Technology, n.e.c.","Funding Cluster 3","$8,948","$18,292","030799"
"360","03 - ENGINEERING AND RELATED TECHNOLOGIES","0309 - Civil Engineering","030900 - Civil Engineering","Funding Cluster 3","$8,948","$18,292","030900"
"361","03 - ENGINEERING AND RELATED TECHNOLOGIES","0309 - Civil Engineering","030901 - Construction Engineering","Funding Cluster 3","$8,948","$18,292","030901"
"362","03 - ENGINEERING AND RELATED TECHNOLOGIES","0309 - Civil Engineering","030903 - Structural Engineering","Funding Cluster 3","$8,948","$18,292","030903"
"363","03 - ENGINEERING AND RELATED TECHNOLOGIES","0309 - Civil Engineering","030905 - Building Services Engineering","Funding Cluster 3","$8,948","$18,292","030905"
"364","03 - ENGINEERING AND RELATED TECHNOLOGIES","0309 - Civil Engineering","030907 - Water and Sanitary Engineering","Funding Cluster 3","$8,948","$18,292","030907"
"366","03 - ENGINEERING AND RELATED TECHNOLOGIES","0309 - Civil Engineering","030911 - Geotechnical Engineering","Funding Cluster 3","$8,948","$18,292","030911"
"367","03 - ENGINEERING AND RELATED TECHNOLOGIES","0309 - Civil Engineering","030913 - Ocean Engineering","Funding Cluster 3","$8,948","$18,292","030913"
"368","03 - ENGINEERING AND RELATED TECHNOLOGIES","0309 - Civil Engineering","030999 - Civil Engineering, n.e.c.","Funding Cluster 3","$8,948","$18,292","030999"
"369","03 - ENGINEERING AND RELATED TECHNOLOGIES","0311 - Geomatic Engineering","031100 - Geomatic Engineering","Funding Cluster 3","$8,948","$18,292","031100"
"370","03 - ENGINEERING AND RELATED TECHNOLOGIES","0311 - Geomatic Engineering","031101 - Surveying","Funding Cluster 3","$8,948","$18,292","031101"
"371","03 - ENGINEERING AND RELATED TECHNOLOGIES","0311 - Geomatic Engineering","031103 - Mapping Science","Funding Cluster 3","$8,948","$18,292","031103"
"372","03 - ENGINEERING AND RELATED TECHNOLOGIES","0311 - Geomatic Engineering","031199 - Geomatic Engineering, n.e.c.","Funding Cluster 3","$8,948","$18,292","031199"
"373","03 - ENGINEERING AND RELATED TECHNOLOGIES","0313 - Electrical and Electronic Engineering and Technology","031300 - Electrical and Electronic Engineering and Technology","Funding Cluster 3","$8,948","$18,292","031300"
"374","03 - ENGINEERING AND RELATED TECHNOLOGIES","0313 - Electrical and Electronic Engineering and Technology","031301 - Electrical Engineering","Funding Cluster 3","$8,948","$18,292","031301"
"375","03 - ENGINEERING AND RELATED TECHNOLOGIES","0313 - Electrical and Electronic Engineering and Technology","031303 - Electronic Engineering","Funding Cluster 3","$8,948","$18,292","031303"
"376","03 - ENGINEERING AND RELATED TECHNOLOGIES","0313 - Electrical and Electronic Engineering and Technology","031305 - Computer Engineering","Funding Cluster 3","$8,948","$18,292","031305"
"377","03 - ENGINEERING AND RELATED TECHNOLOGIES","0313 - Electrical and Electronic Engineering and Technology","031307 - Communications Technologies","Funding Cluster 3","$8,948","$18,292","031307"
"378","03 - ENGINEERING AND RELATED TECHNOLOGIES","0313 - Electrical and Electronic Engineering and Technology","031309 - Communications Equipment Installation and Maintenance","Funding Cluster 3","$8,948","$18,292","031309"
"379","03 - ENGINEERING AND RELATED TECHNOLOGIES","0313 - Electrical and Electronic Engineering and Technology","031311 - Powerline Installation and Maintenance","Funding Cluster 3","$8,948","$18,292","031311"
"380","03 - ENGINEERING AND RELATED TECHNOLOGIES","0313 - Electrical and Electronic Engineering and Technology","031313 - Electrical Fitting, Electrical Mechanics","Funding Cluster 3","$8,948","$18,292","031313"
"381","03 - ENGINEERING AND RELATED TECHNOLOGIES","0313 - Electrical and Electronic Engineering and Technology","031315 - Refrigeration and Air Conditioning Mechanics","Funding Cluster 3","$8,948","$18,292","031315"
"382","03 - ENGINEERING AND RELATED TECHNOLOGIES","0313 - Electrical and Electronic Engineering and Technology","031317 - Electronic Equipment Servicing","Funding Cluster 3","$8,948","$18,292","031317"
"383","03 - ENGINEERING AND RELATED TECHNOLOGIES","0313 - Electrical and Electronic Engineering and Technology","031399 - Electrical and Electronic Engineering and Technology, n.e.c.","Funding Cluster 3","$8,948","$18,292","031399"
"384","03 - ENGINEERING AND RELATED TECHNOLOGIES","0315 - Aerospace Engineering and Technology","031500 - Aerospace Engineering and Technology","Funding Cluster 3","$8,948","$18,292","031500"
"385","03 - ENGINEERING AND RELATED TECHNOLOGIES","0315 - Aerospace Engineering and Technology","031501 - Aerospace Engineering","Funding Cluster 3","$8,948","$18,292","031501"
"386","03 - ENGINEERING AND RELATED TECHNOLOGIES","0315 - Aerospace Engineering and Technology","031503 - Aircraft Maintenance Engineering","Funding Cluster 3","$8,948","$18,292","031503"
"387","03 - ENGINEERING AND RELATED TECHNOLOGIES","0315 - Aerospace Engineering and Technology","031505 - Aircraft Operation","Funding Cluster 3","$8,948","$18,292","031505"
"388","03 - ENGINEERING AND RELATED TECHNOLOGIES","0315 - Aerospace Engineering and Technology","031507 - Air Traffic Control","Funding Cluster 3","$8,948","$18,292","031507"
"389","03 - ENGINEERING AND RELATED TECHNOLOGIES","0315 - Aerospace Engineering and Technology","031599 - Aerospace Engineering and Technology, n.e.c.","Funding Cluster 3","$8,948","$18,292","031599"
"390","03 - ENGINEERING AND RELATED TECHNOLOGIES","0317 - Maritime Engineering and Technology","031700 - Maritime Engineering and Technology","Funding Cluster 3","$8,948","$18,292","031700"
"391","03 - ENGINEERING AND RELATED TECHNOLOGIES","0317 - Maritime Engineering and Technology","031701 - Maritime Engineering","Funding Cluster 3","$8,948","$18,292","031701"
"392","03 - ENGINEERING AND RELATED TECHNOLOGIES","0317 - Maritime Engineering and Technology","031703 - Marine Construction","Funding Cluster 3","$8,948","$18,292","031703"
"393","03 - ENGINEERING AND RELATED TECHNOLOGIES","0317 - Maritime Engineering and Technology","031705 - Marine Craft Operation","Funding Cluster 3","$8,948","$18,292","031705"
"337","03 - ENGINEERING AND RELATED TECHNOLOGIES","0303 - Process and Resources Engineering","030307 - Food Processing Technology","Funding Cluster 3","$8,948","$18,292","030307"
"394","03 - ENGINEERING AND RELATED TECHNOLOGIES","0317 - Maritime Engineering and Technology","031799 - Maritime Engineering and Technology, n.e.c.","Funding Cluster 3","$8,948","$18,292","031799"
"395","03 - ENGINEERING AND RELATED TECHNOLOGIES","0399 - Other Engineering and Related Technologies","039900 - Other Engineering and Related Technologies","Funding Cluster 3","$8,948","$18,292","039900"
"3","09 - SOCIETY AND CULTURE","0907 - Behavioural Science","090701 - Psychology","Funding Cluster 2","$8,948","$14,915","090701"
"4","09 - SOCIETY AND CULTURE","0907 - Behavioural Science","090700 - Behavioural Science","Funding Cluster 1","$16,323","$1,236","090700"
"396","03 - ENGINEERING AND RELATED TECHNOLOGIES","0399 - Other Engineering and Related Technologies","039901 - Environmental Engineering","Funding Cluster 3","$8,948","$18,292","039901"
"397","03 - ENGINEERING AND RELATED TECHNOLOGIES","0399 - Other Engineering and Related Technologies","039903 - Biomedical Engineering","Funding Cluster 3","$8,948","$18,292","039903"
"398","03 - ENGINEERING AND RELATED TECHNOLOGIES","0399 - Other Engineering and Related Technologies","039905 - Fire Technology","Funding Cluster 3","$8,948","$18,292","039905"
"399","03 - ENGINEERING AND RELATED TECHNOLOGIES","0399 - Other Engineering and Related Technologies","039907 - Rail Operations","Funding Cluster 3","$8,948","$18,292","039907"
"400","03 - ENGINEERING AND RELATED TECHNOLOGIES","0399 - Other Engineering and Related Technologies","039909 - Cleaning","Funding Cluster 3","$8,948","$18,292","039909"
"424","06 - HEALTH","0601 - Medical Studies","060103 - Surgery","Funding Cluster 4","$12,720","$30,395","060103"
"425","06 - HEALTH","0601 - Medical Studies","060105 - Psychiatry","Funding Cluster 4","$12,720","$30,395","060105"
"426","06 - HEALTH","0601 - Medical Studies","060107 - Obstetrics and Gynaecology","Funding Cluster 4","$12,720","$30,395","060107"
"427","06 - HEALTH","0601 - Medical Studies","060109 - Paediatrics","Funding Cluster 4","$12,720","$30,395","060109"
"428","06 - HEALTH","0601 - Medical Studies","060111 - Anaesthesiology","Funding Cluster 4","$12,720","$30,395","060111"
"429","06 - HEALTH","0601 - Medical Studies","060115 - Radiology","Funding Cluster 4","$12,720","$30,395","060115"
"430","06 - HEALTH","0601 - Medical Studies","060117 - Internal Medicine","Funding Cluster 4","$12,720","$30,395","060117"
"431","06 - HEALTH","0601 - Medical Studies","060119 - General Practice","Funding Cluster 4","$12,720","$30,395","060119"
"432","06 - HEALTH","0601 - Medical Studies","060199 - Medical Studies, n.e.c.","Funding Cluster 4","$12,720","$30,395","060199"
"433","06 - HEALTH","0607 - Dental Studies","060700 - Dental Studies","Funding Cluster 4","$12,720","$30,395","060700"
"434","06 - HEALTH","0607 - Dental Studies","060701 - Dentistry","Funding Cluster 4","$12,720","$30,395","060701"
"435","06 - HEALTH","0607 - Dental Studies","060703 - Dental Assisting","Funding Cluster 4","$12,720","$30,395","060703"
"436","06 - HEALTH","0607 - Dental Studies","060705 - Dental Technology","Funding Cluster 4","$12,720","$30,395","060705"
"437","06 - HEALTH","0607 - Dental Studies","060799 - Dental Studies, n.e.c.","Funding Cluster 4","$12,720","$30,395","060799"
"438","06 - HEALTH","0611 - Veterinary Studies","061100 - Veterinary Studies","Funding Cluster 4","$12,720","$30,395","061100"
"439","06 - HEALTH","0611 - Veterinary Studies","061101 - Veterinary Science","Funding Cluster 4","$12,720","$30,395","061101"
"440","06 - HEALTH","0611 - Veterinary Studies","061103 - Veterinary Assisting","Funding Cluster 4","$12,720","$30,395","061103"
"441","06 - HEALTH","0611 - Veterinary Studies","061199 - Veterinary Studies, n.e.c.","Funding Cluster 4","$12,720","$30,395","061199"
"52","08 - MANAGEMENT AND COMMERCE","0807 - Tourism","080700 - Tourism","Funding Cluster 1","$16,323","$1,236","080700"
"313","01 - NATURAL AND PHYSICAL SCIENCES","0109 - Biological Sciences","010915 - Zoology","Funding Cluster 3","$8,948","$18,292","010915"
"408","05 - AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES","0501 - Agriculture","050100 - Agriculture","Funding Cluster 4","$4,445","$30,395","050100"
"5","09 - SOCIETY AND CULTURE","0907 - Behavioural Science","090700 - Behavioural Science","Funding Cluster 2","$8,948","$14,915","090700"
"6","09 - SOCIETY AND CULTURE","0907 - Behavioural Science","090799 - Behavioural Science, n.e.c.","Funding Cluster 1","$16,323","$1,236","090799"
"7","09 - SOCIETY AND CULTURE","0907 - Behavioural Science","090799 - Behavioural Science, n.e.c.","Funding Cluster 2","$8,948","$14,915","090799"
"8","09 - SOCIETY AND CULTURE","0905 - Human Welfare Studies and Services","090500 - Human Welfare Studies and Services","Funding Cluster 1","$16,323","$1,236","090500"
"9","09 - SOCIETY AND CULTURE","0905 - Human Welfare Studies and Services","090500 - Human Welfare Studies and Services","Funding Cluster 2","$8,948","$14,915","090500"
"10","09 - SOCIETY AND CULTURE","0905 - Human Welfare Studies and Services","090501 - Social Work","Funding Cluster 1","$16,323","$1,236","090501"
"11","09 - SOCIETY AND CULTURE","0905 - Human Welfare Studies and Services","090501 - Social Work","Funding Cluster 2","$8,948","$14,915","090501"
"12","09 - SOCIETY AND CULTURE","0905 - Human Welfare Studies and Services","090503 - Children's Services","Funding Cluster 1","$16,323","$1,236","090503"
"13","09 - SOCIETY AND CULTURE","0905 - Human Welfare Studies and Services","090503 - Children's Services","Funding Cluster 2","$8,948","$14,915","090503"
"14","09 - SOCIETY AND CULTURE","0905 - Human Welfare Studies and Services","090505 - Youth Work","Funding Cluster 1","$16,323","$1,236","090505"
"15","09 - SOCIETY AND CULTURE","0905 - Human Welfare Studies and Services","090505 - Youth Work","Funding Cluster 2","$8,948","$14,915","090505"
"16","09 - SOCIETY AND CULTURE","0905 - Human Welfare Studies and Services","090507 - Care for the Aged","Funding Cluster 1","$16,323","$1,236","090507"
"17","09 - SOCIETY AND CULTURE","0905 - Human Welfare Studies and Services","090507 - Care for the Aged","Funding Cluster 2","$8,948","$14,915","090507"
"18","09 - SOCIETY AND CULTURE","0905 - Human Welfare Studies and Services","090509 - Care for the Disabled","Funding Cluster 1","$16,323","$1,236","090509"
"19","09 - SOCIETY AND CULTURE","0905 - Human Welfare Studies and Services","090509 - Care for the Disabled","Funding Cluster 2","$8,948","$14,915","090509"
"20","09 - SOCIETY AND CULTURE","0905 - Human Welfare Studies and Services","090511 - Residential Client Care","Funding Cluster 1","$16,323","$1,236","090511"
"21","09 - SOCIETY AND CULTURE","0905 - Human Welfare Studies and Services","090511 - Residential Client Care","Funding Cluster 2","$8,948","$14,915","090511"
"22","09 - SOCIETY AND CULTURE","0905 - Human Welfare Studies and Services","090513 - Counselling","Funding Cluster 1","$16,323","$1,236","090513"
"65","08 - MANAGEMENT AND COMMERCE","0899 - Other Management and Commerce","089901 - Purchasing, Warehousing and Distribution","Funding Cluster 1","$16,323","$1,236","089901"
"401","03 - ENGINEERING AND RELATED TECHNOLOGIES","0399 - Other Engineering and Related Technologies","039999 - Engineering and Related Technologies, n.e.c.","Funding Cluster 3","$8,948","$18,292","039999"
"402","05 - AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES","0509 - Environmental Studies","050900 - Environmental Studies","Funding Cluster 3","$8,948","$18,292","050900"
"403","05 - AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES","0509 - Environmental Studies","050901 - Land, Parks and Wildlife Management","Funding Cluster 3","$8,948","$18,292","050901"
"404","05 - AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES","0509 - Environmental Studies","050999 - Environmental Studies, n.e.c.","Funding Cluster 3","$8,948","$18,292","050999"
"405","05 - AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES","0599 - Other Agriculture, Environmental and Related Studies","059900 - Other Agriculture, Environmental and Related Studies","Funding Cluster 3","$8,948","$18,292","059900"
"406","05 - AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES","0599 - Other Agriculture, Environmental and Related Studies","059901 - Pest and Weed Control","Funding Cluster 3","$8,948","$18,292","059901"
"407","05 - AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES","0599 - Other Agriculture, Environmental and Related Studies","059999 - Agriculture, Environmental and Related Studies, n.e.c.","Funding Cluster 3","$8,948","$18,292","059999"
"423","06 - HEALTH","0601 - Medical Studies","060101 - General Medicine","Funding Cluster 4","$12,720","$30,395","060101"
"409","05 - AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES","0501 - Agriculture","050101 - Agricultural Science","Funding Cluster 4","$4,445","$30,395","050101"
"410","05 - AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES","0501 - Agriculture","050103 - Wool Science","Funding Cluster 4","$4,445","$30,395","050103"
"411","05 - AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES","0501 - Agriculture","050105 - Animal Husbandry","Funding Cluster 4","$4,445","$30,395","050105"
"412","05 - AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES","0501 - Agriculture","050199 - Agriculture, n.e.c.","Funding Cluster 4","$4,445","$30,395","050199"
"413","05 - AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES","0503 - Horticulture and Viticulture","050300 - Horticulture and Viticulture","Funding Cluster 4","$4,445","$30,395","050300"
"414","05 - AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES","0503 - Horticulture and Viticulture","050301 - Horticulture","Funding Cluster 4","$4,445","$30,395","050301"
"415","05 - AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES","0503 - Horticulture and Viticulture","050303 - Viticulture","Funding Cluster 4","$4,445","$30,395","050303"
"416","05 - AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES","0505 - Forestry Studies","050500 - Forestry Sciences","Funding Cluster 4","$4,445","$30,395","050500"
"417","05 - AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES","0505 - Forestry Studies","050501 - Forestry Studies","Funding Cluster 4","$4,445","$30,395","050501"
"418","05 - AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES","0507 - Fisheries Studies","050700 - Fisheries Sciences","Funding Cluster 4","$4,445","$30,395","050700"
"419","05 - AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES","0507 - Fisheries Studies","050701 - Aquaculture","Funding Cluster 4","$4,445","$30,395","050701"
"420","05 - AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES","0507 - Fisheries Studies","050799 - Fisheries Studies, n.e.c.","Funding Cluster 4","$4,445","$30,395","050799"
"421","06 - HEALTH","0601 - Medical Studies","060113 - Pathology","Funding Cluster 4","$8,948","$30,395","060113"
"422","06 - HEALTH","0601 - Medical Studies","060100 - Medical Studies","Funding Cluster 4","$12,720","$30,395","060100"
