funding_cluster,discipline,max_student_contribution,commonwealth_contribution,total_resourcing
Funding Cluster 1,Law,16323,1236,17559
Funding Cluster 1,Accounting,16323,1236,17559
Funding Cluster 1,Administration,16323,1236,17559
Funding Cluster 1,Economics,16323,1236,17559
Funding Cluster 1,Commerce,16323,1236,17559
Funding Cluster 1,Communications,16323,1236,17559
Funding Cluster 1,Society and Culture,16323,1236,17559
Funding Cluster 2,Education,4445,14915,19360
Funding Cluster 2,Postgraduate Clinical Psychology,4445,14915,19360
Funding Cluster 2,English,4445,14915,19360
Funding Cluster 2,Mathematics ,4445,14915,19360
Funding Cluster 2,Statistics,4445,14915,19360
Funding Cluster 2,Allied Health,8948,14915,23863
Funding Cluster 2,Other Health,8948,14915,23863
Funding Cluster 2,Built Environment,8948,14915,23863
Funding Cluster 2,Computing,8948,14915,23863
Funding Cluster 2,Visual and Performing Arts,8948,14915,23863
Funding Cluster 2,Professional Pathway Psychology,8948,14915,23863
Funding Cluster 2,"Professional Pathway
Social Work",8948,14915,23863
Funding Cluster 3,Nursing,4445,18292,22737
Funding Cluster 3,Indigenous and Foreign Languages,4445,18292,22737
Funding Cluster 3,Engineering,8948,18292,27240
Funding Cluster 3,Surveying,8948,18292,27240
Funding Cluster 3,Science,8948,18292,27240
Funding Cluster 3,Environmental Studies ,8948,18292,27240
Funding Cluster 4,Agriculture,4445,30395,34840
Funding Cluster 4,Pathology,8948,30395,39343
Funding Cluster 4,Medicine,12720,30395,43115
Funding Cluster 4,Dentistry,12720,30395,43115
Funding Cluster 4,Veterinary Science,12720,30395,43115