foe_code,funding_cluster,e312_rule,e392_rule,year
090701,Funding Cluster 1,Not E312=27,Not E392=8,2024
090701,Funding Cluster 2,27,Not E392=8,2024
090701,Funding Cluster 2,Not E312=27,8,2024
090700,Funding Cluster 1,Any E312 value,Not E392=8,2024
090700,Funding Cluster 2,Any E312 value,8,2024
090799,Funding Cluster 1,Any E312 value,Not E392=8,2024
090799,Funding Cluster 2,Any E312 value,8,2024
090500,Funding Cluster 1,Any E312 value,Not E392=8,2024
090500,Funding Cluster 2,Any E312 value,8,2024
090501,Funding Cluster 1,Any E312 value,Not E392=8,2024
090501,Funding Cluster 2,Any E312 value,8,2024
090503,Funding Cluster 1,Any E312 value,Not E392=8,2024
090503,Funding Cluster 2,Any E312 value,8,2024
090505,Funding Cluster 1,Any E312 value,Not E392=8,2024
090505,Funding Cluster 2,Any E312 value,8,2024
090507,Funding Cluster 1,Any E312 value,Not E392=8,2024
090507,Funding Cluster 2,Any E312 value,8,2024
090509,Funding Cluster 1,Any E312 value,Not E392=8,2024
090509,Funding Cluster 2,Any E312 value,8,2024
090511,Funding Cluster 1,Any E312 value,Not E392=8,2024
090511,Funding Cluster 2,Any E312 value,8,2024
090513,Funding Cluster 1,Any E312 value,Not E392=8,2024
090513,Funding Cluster 2,Any E312 value,8,2024
090515,Funding Cluster 1,Any E312 value,Not E392=8,2024
090515,Funding Cluster 2,Any E312 value,8,2024
090599,Funding Cluster 1,Any E312 value,Not E392=8,2024
090599,Funding Cluster 2,Any E312 value,8,2024